网源,#genre#
中央1台,http://111.40.196.33/PLTV/88888888/224/3221225769/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226834/48356507.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-1hd/1.m3u8#http://117.148.179.155:80/PLTV/88888888/224/3221231468/1.m3u8#http://60.255.49.202:80/live/CCTV-1H265_4000.m3u8#http://httpdvb.slave.yqdtv.com:13164/playurl?playtype=live&protocol=http&playtoken=31603YEQXREOPEG10&auth=no&verifycode=14183&accesstoken=G79E6023V21307D1TD05FABJB53102ABM786710FEI3282697DK98BDA6&programid=4200000190#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227634/index.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-1-MD/G_CCTV-1-MD.m3u8
中央2台,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226655/40417429.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-2-MD/G_CCTV-2-MD.m3u8#http://60.255.49.202:80/live/CCTV-2H265_4000.m3u8#http://117.148.179.147:80/PLTV/88888888/224/3221231678/1.m3u8
中央3台,http://111.40.196.29/PLTV/88888888/224/3221225588/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8#https://jwplay.hebyun.com.cn:443/live/cctv3/1500k/tzwj_video.m3u8#http://223.110.242.133:6610/jsyd/live1/G_CCTV-3-MD/G_CCTV-3-MD/#http://117.148.179.183:80/PLTV/88888888/224/3221231682/index.m3u8
中央4台,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8#http://39.135.32.28:6610/000000001000/1000000002000031664/1.m3u8?#http://117.148.179.183/PLTV/88888888/224/3221231726/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226633/40417241.smil#http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8#http://60.255.49.202:80/live/CCTV-4H265_4000.m3u8
中央5台,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8#http://60.255.49.202:80/live/CCTV-5H265_4000.m3u8#http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225837/1.m3u8#http://httpdvb.slave.yqdtv.com:13164/playurl?playtype=live&protocol=http&playtoken=31603YEQXREOPEG10&auth=no&verifycode=14183&accesstoken=G79E6023V21307D1TD05FABJB53102ABM786710FEI3282697DK98BDA6&programid=4200000123
中央6台,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-6hd/1.m3u8#http://223.110.245.172/PLTV/3/224/3221225548/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8#http://39.135.32.28:6610/000000001000/1000000001000016466/1.m3u8?#http://60.255.49.202:80/live/CCTV-6H265_4000.m3u8#https://jwplay.hebyun.com.cn:443/live/cctv6/1500k/tzwj_video.m3u8
中央8台,http://60.255.49.202:80/live/CCTV-8H265_4000.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8#http://111.40.196.31/PLTV/88888888/224/3221225592/index.m3u8#http://39.134.39.37/PLTV/88888888/224/3221226257/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-8hd/1.m3u8#http://117.148.179.160:80/PLTV/88888888/224/3221231694/index.m3u8
中央9台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://111.40.196.34/PLTV/88888888/224/3221225502/index.m3u8#http://117.148.179.163/PLTV/88888888/224/3221231697/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226637/40417257.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-9hd/1.m3u8#http://60.255.49.202:80/live/CCTV-9H265_4000.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8
中央12台,rtsp://183.252.166.199/PLTV/88888888/224/3221226659/40417266.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-12hd/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225669/index.m3u8#http://60.255.49.202:80/live/CCTV-12H265_4000.m3u8
中央13台,http://111.40.196.30/PLTV/88888888/224/3221225504/index.m3u8#http://scgctvshow.sctv.com/scgc/cctv13/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil#http://223.110.242.200:6610/gitv/live1/G_CCTV-13-CQ/G_CCTV-13-CQ
中央14台,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-14hd/1.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8#http://117.148.179.183/PLTV/88888888/224/3221231648/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226641/40418077.smil#http://111.63.77.77:80/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8#http://60.255.49.202:80/live/CCTV-14H265_4000.m3u8
中央16台,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8#http://39.135.140.227:6610/PLTV/88888888/224/3221226233/2/index.m3u8?fmt=ts2hls#http://111.63.77.77:80/gitv_live/G_CCTV-16-CQ/G_CCTV-16-CQ.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221228144/index.m3u8#http://39.135.129.166:80/PLTV/88888888/224/3221226581/1.m3u8
中央17台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-17hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-17-CQ/G_CCTV-17-CQ.m3u8#http://223.110.243.224/PLTV/3/224/3221227592/index.m3u8
中央4K台,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8#https://p.ggiptv.com/v/4k.m3u8#http://ye23.win/iptv/4k.cctv.php
内蒙古卫视,http://live9.m2oplus.nmtv.cn/nmgws/playlist.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000101&playtoken=ABCDEFGH&auth=noC#rtsp://183.252.166.199/PLTV/88888888/224/3221226092/10000100000000060000000002296930_0.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/bjws-hd/1.m3u8#http://117.148.179.168:80/PLTV/88888888/224/3221231732/index.m3u8#http://60.255.49.202:80/live/bjwsH265_4000.m3u8#http://223.110.242.133:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
上海卫视,http://coocaa-ynbit-ws.ifengli.com:2386/live/shdfws-hd/1.m3u8#http://111.40.196.35/PLTV/88888888/224/3221225509/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226041/10000100000000060000000002296882_0.smil#http://223.110.242.133:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226261/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8#http://117.148.179.160:80/PLTV/88888888/224/3221231738/index.m3u8
